demo/inflicted,positioning/percent_farthest_from_ball,positioning/avg_distance_to_ball_no_possession,positioning/time_most_forward,positioning/percent_closest_to_ball,movement/percent_high_air,core/shots_against,positioning/avg_distance_to_ball,movement/count_powerslide,boost/bcpm,movement/percent_boost_speed,positioning/percent_most_forward,core/mvp,boost/time_boost_25_50,positioning/time_most_back,core/shooting_percentage,positioning/avg_distance_to_ball_possession,boost/bpm,boost/time_full_boost,core/shots,movement/time_powerslide,positioning/time_defensive_third,boost/time_boost_0_25,demo/taken,positioning/time_farthest_from_ball,core/assists,boost/amount_used_while_supersonic,boost/amount_collected_big,boost/amount_stolen,movement/time_ground,boost/amount_stolen_big,movement/avg_speed_percentage,movement/time_high_air,positioning/time_infront_ball,positioning/percent_behind_ball,positioning/time_offensive_half,boost/time_boost_50_75,movement/percent_low_air,boost/percent_boost_75_100,boost/count_stolen_big,positioning/goals_against_while_last_defender,positioning/percent_offensive_third,boost/count_collected_small,boost/avg_amount,boost/count_stolen_small,positioning/percent_infront_ball,movement/time_low_air,boost/amount_stolen_small,movement/time_boost_speed,movement/total_distance,movement/percent_ground,boost/amount_overfill,positioning/percent_defensive_third,boost/percent_boost_50_75,positioning/percent_defensive_half,positioning/percent_neutral_third,positioning/time_behind_ball,boost/time_zero_boost,core/goals_against,core/saves,boost/amount_collected_small,positioning/percent_offensive_half,movement/avg_powerslide_duration,movement/percent_supersonic_speed,movement/time_slow_speed,movement/time_supersonic_speed,boost/percent_zero_boost,boost/amount_collected,movement/percent_slow_speed,boost/count_collected_big,movement/avg_speed,boost/percent_full_boost,positioning/time_defensive_half,positioning/percent_most_back,core/score,positioning/avg_distance_to_mates,core/goals,positioning/time_closest_to_ball,positioning/time_neutral_third,boost/time_boost_75_100,positioning/time_offensive_third,boost/amount_overfill_stolen,boost/percent_boost_25_50,boost/percent_boost_0_25
1,32.619747,2849,108.0,26.968845,2.706406,7,2788,5,156.25188,26.964144,32.29086,False,103.76,111.8,0.0,2723,164,20.08,0,2.6,191.74,116.28,0,109.1,0,215,333,326,239.59,107,52.52174,9.48,105.86,69.778465,120.93,48.73,28.894028,20.362083,2,,24.266994,46,40.86,19,30.221537,101.21,219,94.45,383283,68.39957,181,54.74063,14.438946,65.47619,20.992378,244.42,41.6,3,0,538,34.52381,0.52,7.3741007,230.0,25.83,12.43796,871,65.66176,5,1208,6.0037074,229.35,33.427017,62,2969,0,90.2,73.53,68.72,85.0,101,30.744614,34.454353
0,30.496922,2405,121.4,43.024574,1.8461713,5,2377,41,87.723495,17.121107,36.297318,True,27.13,108.0,75.0,2273,46,42.99,4,9.66,169.19,3.79,0,102.0,0,0,320,36,243.67,0,52.304348,6.5,91.33,74.0606,124.73,12.18,28.945126,62.525,0,1.0,22.565891,16,60.82,4,25.939388,101.91,36,60.28,394554,69.2087,190,48.054417,10.590384,64.5744,29.379684,260.76,2.75,2,0,169,35.425602,0.24,2.1046352,284.39,7.41,0.8222209,489,80.774254,5,1203,12.853556,227.36,32.29086,459,3567,3,143.9,103.44,71.91,79.45,5,23.589252,3.2953656
0,52.113857,3733,87.4,24.786222,1.2062725,5,3989,13,210.06996,19.54736,26.131676,False,84.54,183.7,0.0,4156,200,23.23,2,6.85,262.84,138.56,0,174.3,1,208,719,246,266.69,174,45.913044,4.2,73.26,78.95916,54.24,57.85,22.198286,8.547898,2,1.0,8.395083,38,36.42,6,21.04084,77.29,72,68.06,324512,76.595436,80,75.48969,18.830767,84.42185,16.115229,274.92,56.73,2,2,452,15.57815,0.53,2.6423113,270.92,9.2,16.96167,1171,77.810326,8,1056,6.945524,293.94,54.92436,281,4171,0,82.9,56.11,26.26,29.23,25,27.518633,45.102695
0,25.71309,2728,135.9,37.61287,0.0,5,2446,1,217.6045,27.586308,40.63266,False,70.15,84.1,0.0,2245,235,80.23,1,0.73,178.58,112.89,1,86.0,0,545,810,207,251.72,87,57.913044,0.0,127.62,63.28433,121.89,46.63,27.58343,28.366915,1,,20.604734,35,44.24,10,36.71567,95.88,120,95.89,398756,72.41657,390,51.376617,14.543696,64.93282,28.01864,219.97,19.26,2,1,403,35.067177,0.73,7.0799775,227.1,24.61,5.7585363,1213,65.333725,12,1332,23.987923,225.7,25.14501,104,3495,0,125.8,97.39,90.95,71.62,12,21.879484,35.209908
0,37.135204,2855,130.6,45.114002,5.2101355,1,2394,45,286.42523,30.51033,35.323074,True,86.14,182.2,60.0,2297,341,27.32,10,5.15,190.54,105.39,0,137.3,1,119,1460,521,213.98,416,52.95652,20.48,87.04,77.85692,157.57,40.7,40.35311,30.03013,5,,25.895493,27,50.17,10,22.143074,158.62,105,119.93,395766,54.436756,165,48.473595,12.26273,59.915028,25.630917,306.04,40.67,0,0,305,40.08497,0.11,4.887046,253.94,19.21,10.999918,1765,64.60263,18,1218,7.389176,235.52,49.2792,1078,3145,6,166.8,100.75,99.67,101.79,83,25.953602,31.75354
1,34.700996,2259,150.8,43.058445,2.642982,1,2167,11,216.80685,32.660976,40.78652,False,57.65,126.7,66.666664,2068,241,23.99,6,3.61,137.84,234.55,2,128.3,1,340,697,441,260.41,100,57.04348,10.43,117.59,70.20247,200.46,32.67,31.368624,9.071317,1,,34.64258,47,26.77,21,29.797531,123.79,341,128.89,450431,65.988396,102,34.92892,9.144088,49.20305,30.428503,277.04,115.72,0,0,639,50.796947,0.33,4.725946,247.09,18.65,31.298513,1336,62.613083,8,1312,6.488518,194.17,34.26825,627,3065,4,159.2,120.08,32.41,136.71,0,16.135803,65.64879
0,52.399143,3204,104.5,20.052517,0.971775,1,3137,0,122.4636,16.671017,31.18286,False,77.64,145.0,100.0,3118,128,25.47,1,0.0,156.39,33.95,0,175.6,0,159,293,250,288.09,87,52.130436,3.35,95.46,72.30796,148.46,78.23,15.458474,24.464783,1,,24.405317,33,54.49,14,27.69204,53.29,163,57.47,302372,83.56975,108,45.36726,31.130125,56.93441,30.227434,249.26,18.16,0,1,391,43.06559,0.0,2.442491,278.84,8.42,5.4189544,684,80.88649,4,1199,7.6002626,196.27,43.268085,205,3261,1,67.2,104.2,61.48,84.13,13,30.895344,13.509749
1,68.59059,2287,230.7,61.937088,1.0977391,17,2341,21,132.25867,19.552849,62.39688,False,94.57,242.9,0.0,2563,127,11.36,1,9.25,219.55,172.77,0,253.6,0,94,387,90,277.95,0,49.826088,4.36,151.91,61.752857,110.64,19.8,28.921396,16.961163,0,9.0,16.070799,37,33.58,8,38.247143,114.87,90,77.66,400368,69.98087,17,55.277206,5.726019,72.143616,28.651997,245.27,69.82,11,2,428,27.856388,0.44,3.1396344,307.05,12.47,18.88405,815,77.30752,4,1146,3.0725124,286.54,65.69659,181,2620,0,229.0,113.8,58.65,63.83,4,27.34897,49.963856
1,40.198864,2458,63.5,29.545454,0.99604315,17,2272,6,111.931816,30.164648,30.066288,False,5.07,82.2,0.0,1888,177,1.46,0,0.82,104.69,156.22,1,84.9,0,44,200,85,146.64,0,55.304348,2.19,85.87,60.945107,82.56,4.28,32.31,11.972991,0,1.0,19.425116,16,17.15,7,39.054897,71.04,85,66.32,248489,66.693954,0,47.614502,2.2755065,62.45054,32.96039,134.0,124.11,11,1,194,37.54946,0.14,3.0292,146.88,6.66,58.764206,394,66.806145,2,1272,0.6912879,137.31,38.920456,86,2364,0,62.4,72.47,22.52,42.71,0,2.695518,83.05598
0,31.344696,2201,85.2,41.85606,1.3718412,17,2010,35,379.82956,26.860418,40.340908,False,18.52,82.6,0.0,1666,406,8.51,0,4.17,110.28,121.1,0,66.2,0,110,1048,422,110.75,348,54.608696,3.04,85.91,61.230198,79.27,21.98,48.650723,24.358736,4,1.0,23.472336,27,39.65,8,38.769802,107.81,74,59.52,259281,49.97744,62,49.769836,10.288337,64.22673,26.757832,135.68,100.57,11,0,289,35.773273,0.12,6.6338735,147.37,14.7,47.61837,1337,66.50571,11,1256,4.029356,142.32,39.109848,72,2543,0,88.4,59.29,52.04,52.01,62,8.668789,56.684147
2,32.63889,2437,100.6,33.75604,0.6843579,1,2722,0,356.52173,40.420433,30.374395,True,54.18,109.7,100.0,2783,335,81.08,2,0.0,147.7,85.9,0,108.1,0,635,1648,339,250.61,200,64.17391,2.37,92.9,73.17355,153.17,70.39,26.949842,34.68533,2,,30.65839,29,53.29,13,26.826452,93.33,139,139.98,468585,72.3658,279,42.650883,21.843967,55.769566,26.690731,253.4,33.03,1,0,320,44.23044,0.0,10.597442,169.63,36.7,9.972826,1968,48.982124,20,1476,24.480675,193.13,33.12198,338,2747,2,111.8,92.43,111.77,106.17,16,16.813555,26.65715
0,27.928743,2042,147.7,32.699276,1.216306,1,2078,4,103.623184,19.402554,44.59541,False,55.82,64.3,100.0,2068,112,35.07,1,1.0,106.58,91.22,0,92.5,1,103,119,208,263.51,100,53.95652,4.21,116.34,66.38932,188.88,44.46,22.65334,35.393543,1,,40.00693,32,38.35,9,33.610676,78.41,108,67.16,393532,76.130356,80,30.791008,14.999494,45.43248,29.202055,229.8,56.65,1,1,453,54.567513,0.25,3.1807938,267.97,11.01,17.104467,572,77.41665,2,1241,10.588768,157.26,19.414251,283,2480,1,108.3,101.08,104.91,138.48,0,18.832024,30.77494
0,41.757244,2413,81.3,33.152172,2.722428,1,2329,106,221.19565,30.266167,24.547102,False,40.17,165.1,50.0,2175,188,105.12,2,12.6,144.67,15.23,0,138.3,0,92,806,466,246.15,250,56.434784,9.4,52.68,84.74282,162.71,59.15,25.987604,61.96247,5,1.0,31.161121,37,69.03,19,15.257183,89.73,216,104.5,416022,71.28997,481,41.900543,19.641373,52.875923,26.93834,292.6,4.1,1,0,415,47.124073,0.12,2.9455206,230.6,10.17,1.2379227,1221,66.78831,13,1298,31.73913,182.57,49.849033,260,2703,1,109.8,93.01,186.6,107.59,261,13.338866,5.05728
0,23.550724,1881,148.3,50.241543,0.15338753,5,1848,2,206.88405,29.472712,44.77657,False,114.1,98.8,100.0,1647,218,15.26,1,0.83,186.24,89.63,1,78.0,0,120,609,263,195.85,71,55.173912,0.53,117.4,66.02419,108.84,88.15,43.16557,13.678171,1,2.0,18.345198,45,44.54,16,33.975803,149.15,192,101.84,408221,56.68104,198,53.898247,26.069855,68.50148,27.756554,228.14,27.23,4,0,533,31.498526,0.42,5.892227,223.34,20.36,8.221618,1142,64.63507,8,1269,4.6074877,236.7,29.830917,232,2609,1,166.4,95.91,46.25,63.39,28,33.74442,26.507555
