demo/inflicted,positioning/percent_farthest_from_ball,positioning/avg_distance_to_ball_no_possession,positioning/time_most_forward,positioning/percent_closest_to_ball,movement/percent_high_air,core/shots_against,positioning/avg_distance_to_ball,movement/count_powerslide,boost/bcpm,movement/percent_boost_speed,positioning/percent_most_forward,core/mvp,boost/time_boost_25_50,positioning/time_most_back,core/shooting_percentage,positioning/avg_distance_to_ball_possession,boost/bpm,boost/time_full_boost,core/shots,movement/time_powerslide,positioning/time_defensive_third,boost/time_boost_0_25,demo/taken,positioning/time_farthest_from_ball,core/assists,boost/amount_used_while_supersonic,boost/amount_collected_big,boost/amount_stolen,movement/time_ground,boost/amount_stolen_big,movement/avg_speed_percentage,movement/time_high_air,positioning/time_infront_ball,positioning/percent_behind_ball,positioning/time_offensive_half,boost/time_boost_50_75,movement/percent_low_air,boost/percent_boost_75_100,boost/count_stolen_big,positioning/goals_against_while_last_defender,positioning/percent_offensive_third,boost/count_collected_small,boost/avg_amount,boost/count_stolen_small,positioning/percent_infront_ball,movement/time_low_air,boost/amount_stolen_small,movement/time_boost_speed,movement/total_distance,movement/percent_ground,boost/amount_overfill,positioning/percent_defensive_third,boost/percent_boost_50_75,positioning/percent_defensive_half,positioning/percent_neutral_third,positioning/time_behind_ball,boost/time_zero_boost,core/goals_against,core/saves,boost/amount_collected_small,positioning/percent_offensive_half,movement/avg_powerslide_duration,movement/percent_supersonic_speed,movement/time_slow_speed,movement/time_supersonic_speed,boost/percent_zero_boost,boost/amount_collected,movement/percent_slow_speed,boost/count_collected_big,movement/avg_speed,boost/percent_full_boost,positioning/time_defensive_half,positioning/percent_most_back,core/score,positioning/avg_distance_to_mates,core/goals,positioning/time_closest_to_ball,positioning/time_neutral_third,boost/time_boost_75_100,positioning/time_offensive_third,boost/amount_overfill_stolen,boost/percent_boost_25_50,boost/percent_boost_0_25
1,45.69127,2847,132.3,26.614876,1.3523728,1,3086,17,317.3069,30.918318,38.066467,False,62.71,130.9,50.0,3318,289,38.43,2,4.86,182.79,102.23,0,158.8,1,279,1310,603,276.44,502,54.608696,5.01,98.1,73.5194,133.04,69.06,24.026884,33.240135,6,,27.123037,48,48.31,11,26.480593,89.01,101,114.54,416037,74.620735,206,49.341362,19.702719,64.08887,23.535604,272.36,63.17,1,0,528,35.91114,0.29,3.938347,241.33,14.59,18.175802,1838,65.14333,16,1256,11.057403,237.43,37.663643,228,3299,1,92.5,87.19,116.51,100.48,101,17.891073,29.16607
0,30.873257,2378,126.7,47.762913,0.7398341,7,2292,22,207.68236,26.772017,36.45519,False,56.67,143.1,0.0,2234,249,39.41,0,3.28,207.02,162.55,1,107.3,0,116,765,168,222.98,0,55.260868,2.72,118.54,67.75738,119.55,30.58,38.610092,20.354546,0,4.0,18.142254,37,38.3,14,32.242622,141.95,168,98.43,426085,60.650074,102,56.30899,9.750031,67.48266,25.548756,249.11,101.12,6,0,438,32.517338,0.15,3.8459446,255.09,14.14,29.095095,1203,69.382034,9,1271,11.339376,248.1,41.173935,196,2984,0,166.0,93.93,63.84,66.7,0,18.068485,51.826935
0,38.929653,2369,140.4,31.707668,0.42747763,7,2286,5,205.43808,30.073051,40.397064,False,72.44,87.2,100.0,2197,233,11.4,1,1.7,186.75,216.66,0,135.3,0,259,576,501,236.72,200,57.217392,1.58,145.51,60.630417,133.09,19.32,35.526638,4.4636493,2,,25.119047,51,23.97,25,39.369587,131.31,301,111.15,396390,64.04589,23,50.527596,5.984574,63.990807,24.353355,224.09,99.42,6,0,614,36.0092,0.34,10.411255,219.97,38.48,28.605957,1190,59.51569,6,1316,3.2801037,236.51,25.089916,174,2667,1,110.2,90.01,14.41,92.84,0,22.439053,67.11272
1,46.72709,2950,99.7,24.888506,2.0542386,7,2939,7,163.83255,23.157497,28.686522,False,81.16,159.3,0.0,2968,203,52.14,0,2.62,231.83,137.65,0,162.4,1,313,356,191,275.83,100,50.565216,7.59,122.46,66.85612,91.51,56.47,23.292196,18.406544,1,2.0,14.393201,50,36.21,8,33.143875,86.06,91,85.56,392461,74.653564,253,62.744938,16.737803,75.23276,22.861858,247.02,45.76,6,0,593,24.76724,0.37,3.6674159,270.36,13.55,13.166451,949,73.17509,6,1163,15.002158,277.97,45.835133,80,2918,0,86.5,84.47,62.1,53.18,5,24.055962,40.799686
2,26.06352,2419,154.3,45.84996,0.62629795,7,2205,2,243.16855,39.05591,52.63876,False,48.41,40.1,100.0,1872,269,14.53,1,1.1,159.09,140.65,1,76.4,0,426,783,323,214.48,250,62.826088,1.9,135.35,55.384514,90.4,31.85,28.674557,21.4179,3,1.0,17.183638,35,39.12,7,44.61549,86.99,73,118.48,410528,70.69915,74,52.440914,11.329681,70.20042,30.37545,168.02,93.72,4,0,405,29.799576,0.55,9.276108,156.74,28.14,31.972162,1188,51.66799,9,1445,4.956845,212.96,13.679936,238,2794,1,134.4,92.15,60.21,52.13,3,17.220404,50.032013
1,44.48538,2896,74.2,25.415344,0.7248261,7,2940,21,326.681,32.4341,25.313,False,60.05,119.4,0.0,2990,340,31.4,0,4.9,195.12,131.39,0,130.4,0,179,1196,63,203.98,0,61.0,2.23,91.01,70.4196,61.35,46.4,32.974712,21.24764,0,2.0,9.819282,35,41.86,6,29.580393,101.45,63,99.79,405310,66.30046,110,63.420666,15.3637295,80.05916,26.760061,216.66,42.24,4,1,400,19.940844,0.23,11.0833025,173.78,34.1,14.409988,1596,56.482594,13,1403,10.71197,246.31,40.73278,186,2871,0,74.5,82.33,64.17,30.21,0,19.883448,43.50518
0,32.886433,2403,63.4,28.553883,0.90119404,7,2586,1,185.03735,22.093895,21.628628,False,21.73,143.7,0.0,2791,138,72.61,0,0.73,200.21,39.49,0,96.4,0,148,633,36,204.08,0,47.608696,2.77,84.04,72.65746,63.02,93.85,32.70326,46.890198,0,1.0,9.19443,26,60.05,3,27.34253,100.52,36,67.91,305257,66.39555,182,65.1386,32.142612,79.49636,25.666971,223.32,20.8,4,0,271,20.503645,0.73,3.63731,228.28,11.18,7.0958276,904,74.2688,8,1095,24.770578,244.34,49.022617,74,2751,0,83.7,78.89,136.91,28.26,0,7.4422903,13.5248995
0,37.764812,2277,97.5,39.811687,4.6592507,1,2404,12,264.66074,45.86888,33.261692,True,45.48,121.9,60.0,2480,244,30.96,5,2.21,124.46,145.92,1,110.7,0,233,762,393,187.19,176,65.434784,14.2,62.02,79.65023,135.65,55.8,33.92066,15.504512,2,,30.263157,47,39.16,19,20.349773,103.38,217,139.79,429387,61.420082,140,40.83869,19.073011,55.491028,28.898148,242.75,48.07,1,0,531,44.508972,0.18,9.958656,134.62,30.35,16.398867,1293,44.172466,9,1505,10.561867,169.12,41.585644,495,2955,3,116.7,88.07,45.36,92.23,23,15.545529,49.87695
1,58.984066,3184,85.1,16.78436,2.613227,1,3545,0,177.87329,37.3132,29.031487,False,36.8,143.3,100.0,3824,243,54.33,1,0.0,143.01,44.01,0,172.9,2,140,580,165,180.74,62,61.652172,6.82,63.84,75.53835,73.01,56.8,28.132423,37.97999,1,1.0,14.950765,26,60.3,9,24.461643,73.42,103,97.38,295973,69.25435,528,54.7952,25.599422,72.02467,30.254034,197.14,10.9,1,0,289,27.975323,0.0,3.6324618,154.12,9.48,3.7184865,869,59.054333,11,1418,18.53444,187.97,48.886158,252,3342,1,49.2,78.96,84.27,39.02,41,16.58554,19.835045
0,36.059086,2257,133.2,41.824448,0.5649717,1,2420,4,318.0841,35.032734,45.44059,False,70.5,99.2,0.0,2412,280,54.04,1,0.97,117.64,69.55,2,105.7,1,346,1172,400,198.03,234,60.913044,1.7,71.67,76.18146,138.16,65.44,33.622463,29.583303,5,,31.970755,34,55.33,15,23.818544,101.17,166,105.41,383810,65.81255,545,39.096046,22.424782,54.08441,28.9332,229.23,27.69,1,0,382,45.915585,0.24,8.970055,168.49,26.99,9.446321,1554,55.997204,18,1401,18.435507,162.74,33.84164,158,2941,0,122.6,87.06,86.33,96.2,181,24.158728,23.833185
